DIGI,MFR,Qty,Value,Device,Package,Description,Active Column,Price- 1,Price- 10,Price- 100,Comment,
CP-SJ2-25964D-SMT-CT-ND,CUI-SJ2-25964D-SMT,7,,AUDIO_JACK_2.5MM_2.5MM_SMD,STEREOJACK2.5MM,Audio Jack,$1.34,$1.48,$1.34,$1.15,,
DNM,DNM,9,,CONN_02,1X02,Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections,$0.00,$0.00,$0.00,$0.00,,
399-1095-1-ND,C0603C104K8RACTU,2,0.1uF,0.1UF-0603-25V-5%,603,0.1µF ceramic capacitors,$0.03,$0.10,$0.03,$0.01,,
1276-1946-1-ND,CL10B105KP8NNNC,4,1.0uF,1.0UF-0603-16V-10%,603,1µF ceramic capacitors,$0.04,$0.10,$0.04,$0.02,,
399-1022-1-ND,C0402C101J3GACTU,17,100PF,100PF-0402-50V-5%,402,100pF/0.1nF ceramic capacitors,$0.03,$0.10,$0.03,$0.01,,
311-2395-1-ND,RT0603DRE07100KL,1,100k,R-US_R0603,R0603,"RESISTOR, American symbol .5%",$0.11,$0.12,$0.11,$0.04,,
541-3308-1-ND,TNPU0603100KHZEN00,1,100k,R-US_R0603,R0603,"RESISTOR, American symbol .02%",$5.38,$5.95,$5.38,$4.01,,
311-10KGRCT-ND,RC0603JR-0710KL,1,10k,4.7KOHM-0603-1/10W-1%,603,4.7kΩ resistor,$0.01,$0.10,$0.01,$0.00,,
311-1782-1-ND,CC0603KRX5R6BB106,3,10uF,10UF-0603-6.3V-20%,603,10.0µF ceramic capacitors,$0.22,$0.33,$0.22,$0.13,,
P118HCT-ND,ERJ-3EKF1180V,2,118,330OHM-0603-1/10W-1%,603,330Ω resistor,$0.06,$0.10,$0.06,$0.03,,
311-49.9HRCT-ND,RC0603FR-0749R9L,1,49.9,330OHM-0603-1/10W-1%,603,330Ω resistor,$0.02,$0.10,$0.02,$0.01,,
MMBT2222ALT1GOSCT-ND,MMBT2222ALT1G,1,600mA/40V,TRANS_NPN-MMBT2222AL,SOT23-3,NPN transistor,$0.11,$0.12,$0.11,$0.06,,
475-2815-1-ND,LB Q39E-N1OO-35-1,1,BLUE,LED-BLUE0603,LED-0603,Blue SMD LED (needs 50),$0.33,$0.45,$0.33,$0.21,,
732-4980-1-ND,150060VS75000,1,GREEN,LED-GREEN0603,LED-0603,Green SMD LED (needs 118),$0.14,$0.14,$0.14,$0.11,.129 @ 50,
LTC2983CLX#PBF-ND,LTC2983CLX#PBF,1,LTC2983,LTC2983,48_LEAD_LQFP_LX,"Linear Technology LTC2983 multi-sensor, high accuracy, digital temperature measurement system.",$33.97,$33.97,$33.97,$24.14,"break @ 25- 28.39, 27.84 @ arrow (free shipping)",27.84 @ arrow (free shipping)
475-2512-1-ND,LS Q976-NR-1,1,RED,LED-RED0603,LED-0603,Red SMD LED (needs 118),$0.25,$0.35,$0.25,$0.13,,
,,,,,,,,$55.15,$51.22,$37.51,,
,,,,,,,,,,,,
,,2,,THERMOCOUPLE,custom,Temperature Sensor,,,,,,
NEWARK- 01H0905,PCC-SMP-K/N,2,PCC-SMP,SPARKFUN-PRT-13612,PCC-SMP-K,Omega Thermocouple Connector - Miniature Size,$2.20,$2.20,$2.20,$2.20,,
,,7,,THERMISTORS,custom,Temperature Sensor,,,,,,
S9197-ND,SFH11-PBPC-D10-ST-BK,1,,regular header,20 pin 2.54 2 rows,,$1.15,$1.15,$1.01,$0.87,,
ADAFRUIT,1992,1,,GPIO HEADER FOR RASPBERRYPI A+/B+/PI 2/PI 3,20 pin 2.54 2 rows,,$2.95,$2.95,$2.66,$2.36,,
ADAFRUIT,1112,1,,STACKING HEADER FOR RASPBERRY PI - 2X13 EXTRA TALL,20 pin 2.54,,$1.95,$1.95,$1.76,$1.56,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
